ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS
2364	Rongcheng		straight	tʃi³⁵	tʃi³⁵	tʃ i ³⁵	512	straight/直	i n t		直	
2365	Taiyuan		straight	tsɛʔ²	tsɛʔ²	ts ɛ ʔ ²	512	straight/直	i n c t		直	
2366	Xi_an		straight	tʂʅ²⁴	ʈʂʅ²⁴	ʈʂ ʅ ²⁴	512	straight/直	i n t		直	
2367	Chengdu		straight	tsɿ²¹	tsɿ²¹	ts ɿ ²¹	512	straight/直	i n t		直	
2368	Nanjing		straight	tʂʅʔ⁵	ʈʂʅʔ⁵	ʈʂ ʅ ʔ ⁵	512	straight/直	i n c t		直	
2369	Jixi		straight	tɕʰieʔ³²*	tɕʰjeʔ³²	tɕʰ j e ʔ ³²	512	straight/直	i m n c t		直	
2370	Suzhou		straight	zɛʔ²³*	zɛʔ²³	z ɛ ʔ ²³	512	straight/直	i n c t		直	
2371	Wenzhou		straight	dzei²¹	dzei²¹	dz ei ²¹	512	straight/直	i n t		直	
2372	Changsha		straight	tsɿ²⁴	tsɿ²⁴	ts ɿ ²⁴	512	straight/直	i n t		直	
2373	Loudi		straight	tɕʰi³⁵	tɕʰi³⁵	tɕʰ i ³⁵	512	straight/直	i n t		直	
2374	Nanchang		straight	tsʰɨt²¹*	tsʰɨt²¹	tsʰ ɨ t ²¹	512	straight/直	i n c t		直	
2375	Meixian		straight	tsʰət⁵	tsʰət⁵	tsʰ ə t ⁵	512	straight/直	i n c t		直	
2376	Guilin		straight	tsɿ²²	tsɿ²²	ts ɿ ²²	512	straight/直	i n t		直	
2377	Guangzhou		straight	tsek²	tsek²	ts e k ²	512	straight/直	i n c t		直	
2378	Fuzhou		straight	tiʔ⁵	tiʔ⁵	t i ʔ ⁵	512	straight/直	i n c t		直	
2379	Xiamen		straight	tit⁵	tit⁵	t i t ⁵	512	straight/直	i n c t		直	
2380	Beijing		swell	tsuŋ²¹³	tsuŋ²¹³	ts u ŋ ²¹³	513	swell/肿	i n c t		肿	
2381	Ha_erbin		swell	tsuŋ²¹³	tsuŋ²¹³	ts u ŋ ²¹³	513	swell/肿	i n c t		肿	
2382	Jinan		swell	tʂuŋ⁴⁵	ʈʂuŋ⁴⁵	ʈʂ u ŋ ⁴⁵	513	swell/肿	i n c t		肿	
2383	Rongcheng		swell	tʂoŋ²¹⁴	ʈʂoŋ²¹⁴	ʈʂ o ŋ ²¹⁴	513	swell/肿	i n c t		肿	
2384	Taiyuan		swell	tsuŋ⁵³	tsuŋ⁵³	ts u ŋ ⁵³	513	swell/肿	i n c t		肿	
2385	Xi_an		swell	pfəŋ⁵³	pfəŋ⁵³	pf ə ŋ ⁵³	513	swell/肿	i n c t		肿	
2386	Chengdu		swell	tsoŋ⁵³	tsoŋ⁵³	ts o ŋ ⁵³	513	swell/肿	i n c t		肿	
2387	Nanjing		swell	tsoŋ¹¹	tsoŋ¹¹	ts o ŋ ¹¹	513	swell/肿	i n c t		肿	
2388	Jixi		swell	tsɑ̃²¹³	tsɑ̃²¹³	ts ɑ̃ ²¹³	513	swell/肿	i n t		肿	
2389	Suzhou		swell	hɛ⁴⁴	hɛ⁴⁴	h ɛ ⁴⁴	514	swell/he	i n t		⽧臺	
2390	Wenzhou		swell	tɕyo²⁴²	tɕɥo²⁴²	tɕ ɥ o ²⁴²	513	swell/肿	i m n t		肿	
2391	Wenzhou		swell	və³⁴¹	və³⁴¹	v ə ³⁴¹	21	float/浮	i n t		浮	
2392	Changsha		swell	tsən⁴¹	tsən⁴¹	ts ə n ⁴¹	513	swell/肿	i n c t		肿	
2393	Loudi		swell	tɤn⁴²	tɤn⁴²	t ɤ n ⁴²	513	swell/肿	i n c t		肿	
2394	Nanchang		swell	tsuŋ²¹³	tsuŋ²¹³	ts u ŋ ²¹³	513	swell/肿	i n c t		肿	
2395	Meixian		swell	kua³³⁻³⁵ tsuŋ³¹	kwa³³+tsuŋ³¹	k w a ³³ + ts u ŋ ³¹	770 513	_gourd/瓜 swell/肿	i m n t + i n c t		瓜 肿	
2396	Guilin		swell	tsuɤŋ²³	tswɤŋ²³	ts w ɤ ŋ ²³	513	swell/肿	i m n c t		肿	
2397	Guangzhou		swell	tsoŋ³⁵	tsoŋ³⁵	ts o ŋ ³⁵	513	swell/肿	i n c t		肿	
2398	Fuzhou		swell	tsɤn³²	tsɤn³²	ts ɤ n ³²	513	swell/肿	i n c t		肿	
2399	Xiamen		swell	tsiŋ⁵³	tsiŋ⁵³	ts i ŋ ⁵³	513	swell/肿	i n c t		肿	
2400	Beijing		seed	tʂuŋ²¹³⁻²¹ tsə⁰	ʈʂuŋ²¹³+tsə⁰	ʈʂ u ŋ ²¹³ + ts ə ⁰	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2401	Ha_erbin		seed	tsuŋ²¹³⁻²¹ tsɿ⁰	tsuŋ²¹³+tsɿ⁰	ts u ŋ ²¹³ + ts ɿ ⁰	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2402	Jinan		seed	tʂuŋ⁴⁵⁻²¹⁴ tsɿ⁰	ʈʂuŋ⁴⁵+tsɿ⁰	ʈʂ u ŋ ⁴⁵ + ts ɿ ⁰	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2403	Rongcheng		seed	tʂoŋ²¹⁴ tsɿ⁰	ʈʂoŋ²¹⁴+tsɿ⁰	ʈʂ o ŋ ²¹⁴ + ts ɿ ⁰	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2404	Taiyuan		seed	tsuŋ⁵³ tsəʔ⁰	tsuŋ⁵³+tsəʔ⁰	ts u ŋ ⁵³ + ts ə ʔ ⁰	515 19	seed/种 _-child:SUF/子	i n c t + i n c t		种 子	
2405	Xi_an		seed	pfəŋ⁵³ tsɿ⁰	pfəŋ⁵³+tsɿ⁰	pf ə ŋ ⁵³ + ts ɿ ⁰	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2406	Chengdu		seed	tsoŋ⁵³⁻⁵⁵ tsɿ⁵³	tsoŋ⁵³+tsɿ⁵³	ts o ŋ ⁵³ + ts ɿ ⁵³	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2407	Nanjing		seed	tsoŋ¹¹⁻²¹ sɿ⁰	tsoŋ¹¹+sɿ⁰	ts o ŋ ¹¹ + s ɿ ⁰	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2408	Jixi		seed	tsɑ̃²¹³⁻³¹ tsɿ²¹³	tsɑ̃²¹³+tsɿ²¹³	ts ɑ̃ ²¹³ + ts ɿ ²¹³	515 516	seed/种 _-:suffix/zi	i n t + i n t		种 籽	
2409	Suzhou		seed	tsoŋ⁵²	tsoŋ⁵²	ts o ŋ ⁵²	515	seed/种	i n c t		种	
2410	Wenzhou		seed	tɕyɔ²⁴	tɕɥɔ²⁴	tɕ ɥ ɔ ²⁴	515	seed/种	i m n t		种	
2411	Changsha		seed	tsən⁴¹ tsɿ⁰	tsən⁴¹+tsɿ⁰	ts ə n ⁴¹ + ts ɿ ⁰	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2412	Loudi		seed	tɤn⁴² tsɿ⁰	tɤn⁴²+tsɿ⁰	t ɤ n ⁴² + ts ɿ ⁰	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2413	Nanchang		seed	tsuŋ²¹³ tsɿ⁰	tsuŋ²¹³+tsɿ⁰	ts u ŋ ²¹³ + ts ɿ ⁰	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2414	Meixian		seed	tsuŋ³¹⁻³³ ŋe⁰	tsuŋ³¹+ŋe⁰	ts u ŋ ³¹ + ŋ e ⁰	515 442	seed/种 _-:SUF/?	i n c t + i n t		种 ?	
2415	Guilin		seed	tsuɤŋ²³ tse²³⁻³³	tswɤŋ²³+tse²³	ts w ɤ ŋ ²³ + ts e ²³	515 19	seed/种 _-child:SUF/子	i m n c t + i n t		种 子	
2416	Guangzhou		seed	tsoŋ³⁵ tsi³⁵	tsoŋ³⁵+tsi³⁵	ts o ŋ ³⁵ + ts i ³⁵	515 19	seed/种 _-child:SUF/子	i n c t + i n t		种 子	
2417	Fuzhou		seed	tsi³² tsi³²	tsi³²+tsi³²	ts i ³² + ts i ³²	498 19	son/子 _-child:SUF/子	i n t + i n t		子 子	
2418	Xiamen		seed	tsiŋ⁵³	tsiŋ⁵³	ts i ŋ ⁵³	515	seed/种	i n c t		种	
2419	Beijing		heavy	tʂuŋ⁵¹	ʈʂuŋ⁵¹	ʈʂ u ŋ ⁵¹	517	heavy/重	i n c t		重	
2420	Ha_erbin		heavy	tsuŋ⁵³	tsuŋ⁵³	ts u ŋ ⁵³	517	heavy/重	i n c t		重	
2421	Jinan		heavy	tʂuŋ³¹	ʈʂuŋ³¹	ʈʂ u ŋ ³¹	517	heavy/重	i n c t		重	
2422	Rongcheng		heavy	tʂoŋ³³⁴	ʈʂoŋ³³⁴	ʈʂ o ŋ ³³⁴	517	heavy/重	i n c t		重	
2423	Taiyuan		heavy	tsuŋ⁴⁵	tsuŋ⁴⁵	ts u ŋ ⁴⁵	517	heavy/重	i n c t		重	
2424	Xi_an		heavy	pfəŋ⁴⁴	pfəŋ⁴⁴	pf ə ŋ ⁴⁴	517	heavy/重	i n c t		重	
2425	Chengdu		heavy	tsoŋ²¹³	tsoŋ²¹³	ts o ŋ ²¹³	517	heavy/重	i n c t		重	
2426	Nanjing		heavy	tsoŋ⁴⁴	tsoŋ⁴⁴	ts o ŋ ⁴⁴	517	heavy/重	i n c t		重	
2427	Jixi		heavy	tsʰɑ̃²¹³	tsʰɑ̃²¹³	tsʰ ɑ̃ ²¹³	517	heavy/重	i n t		重	
2428	Suzhou		heavy	zoŋ²³¹	zoŋ²³¹	z o ŋ ²³¹	517	heavy/重	i n c t		重	
2429	Wenzhou		heavy	dʑyɔ²⁴	dʑɥɔ²⁴	dʑ ɥ ɔ ²⁴	517	heavy/重	i m n t		重	
2430	Changsha		heavy	tsən¹¹	tsən¹¹	ts ə n ¹¹	517	heavy/重	i n c t		重	
2431	Loudi		heavy	dɤn¹¹	dɤn¹¹	d ɤ n ¹¹	517	heavy/重	i n c t		重	
