ID	DOCULECT	SUBGROUP	CONCEPT	VALUE	IPA	TOKENS	COGIDS	MORPHEMES	STRUCTURE	NOTE	CHARACTERS	CHARACTER_IS
166	Xiamen	Min	all	tsuan²⁴⁻²² pɔ²²	tswan²⁴+pɔ²²	ts w a n ²⁴ + p ɔ ²²	54 55	complete/全 part/部	i m n c t + i n t		全 部	
167	Beijing		hot	ʐɤ⁵¹	ʐɤ⁵¹	ʐ ɤ ⁵¹	59	hot/熱	i n t		熱	
168	Ha_erbin		hot	ʐy⁵³	ʐy⁵³	ʐ y ⁵³	59	hot/熱	i n t		熱	
169	Jinan		hot	ʐy³¹	ʐy³¹	ʐ y ³¹	59	hot/熱	i n t		熱	
170	Rongcheng		hot	iɛ²¹⁴	jɛ²¹⁴	j ɛ ²¹⁴	59	hot/熱	m n t		熱	
171	Taiyuan		hot	zəʔ²	zəʔ²	z ə ʔ ²	59	hot/熱	i n c t		熱	
172	Xi_an		hot	ʐɤ²¹	ʐɤ²¹	ʐ ɤ ²¹	59	hot/熱	i n t		熱	
173	Chengdu		hot	ze²¹	ze²¹	z e ²¹	59	hot/熱	i n t		熱	
174	Nanjing		hot	ʐeʔ⁵	ʐeʔ⁵	ʐ e ʔ ⁵	59	hot/熱	i n c t		熱	
175	Jixi		hot	ȵiaʔ³²*	ɲjaʔ³²	ɲ j a ʔ ³²	59	hot/熱	i m n c t		熱	
176	Suzhou		hot	ȵiɛʔ²³*	ɲjɛʔ²³	ɲ j ɛ ʔ ²³	59	hot/熱	i m n c t		熱	
177	Wenzhou		hot	ȵi²¹	ɲi²¹	ɲ i ²¹	59	hot/熱	i n t		熱	
178	Changsha		hot	ye²⁴	ɥe²⁴	ɥ e ²⁴	59	hot/熱	m n t		熱	
179	Loudi		hot	ie¹³	je¹³	j e ¹³	59	hot/熱	m n t		熱	
180	Nanchang		hot	lɛt⁵	lɛt⁵	l ɛ t ⁵	59	hot/熱	i n c t		熱	
181	Meixian		hot	sau³³	sau³³	s au ³³	59	hot/熱	i n t		熱	
182	Guilin		hot	lie⁵⁵	lje⁵⁵	l j e ⁵⁵	59	hot/熱	i m n t		熱	
183	Guangzhou		hot	it²	it²	i t ²	59	hot/熱	n c t		熱	
184	Fuzhou		hot	ieʔ⁵	jeʔ⁵	j e ʔ ⁵	59	hot/熱	m n c t		熱	
185	Xiamen		hot	liat⁵	ljat⁵	l j a t ⁵	59	hot/熱	i m n c t		熱	
186	Beijing		person	ʐən³⁵	ʐən³⁵	ʐ ə n ³⁵	38	person/人	i n c t		人	
187	Ha_erbin		person	in²⁴	in²⁴	i n ²⁴	38	person/人	n c t		人	
188	Jinan		person	ʐẽ⁵³	ʐẽ⁵³	ʐ ẽ ⁵³	38	person/人	i n t		人	
189	Rongcheng		person	in⁵²	in⁵²	i n ⁵²	38	person/人	n c t		人	
190	Taiyuan		person	zəŋ²¹	zəŋ²¹	z ə ŋ ²¹	38	person/人	i n c t		人	
191	Xi_an		person	ʐẽ²⁴	ʐẽ²⁴	ʐ ẽ ²⁴	38	person/人	i n t		人	
192	Chengdu		person	zən²¹	zən²¹	z ə n ²¹	38	person/人	i n c t		人	
193	Nanjing		person	ʐɛn¹³	ʐɛn¹³	ʐ ɛ n ¹³	38	person/人	i n c t		人	
194	Jixi		person	iɑ̃⁴⁴	jɑ̃⁴⁴	j ɑ̃ ⁴⁴	38	person/人	m n t		人	
195	Suzhou		person	ȵin¹³	ɲin¹³	ɲ i n ¹³	38	person/人	i n c t		人	
196	Wenzhou		person	naŋ³⁴¹	naŋ³⁴¹	n a ŋ ³⁴¹	38	person/人	i n c t		人	
197	Changsha		person	ʐən¹³	ʐən¹³	ʐ ə n ¹³	38	person/人	i n c t		人	
198	Loudi		person	nin¹³	nin¹³	n i n ¹³	38	person/人	i n c t		人	
199	Nanchang		person	lɨn⁴⁵	lɨn⁴⁵	l ɨ n ⁴⁵	38	person/人	i n c t		人	
200	Meixian		person	ŋin¹¹	ŋin¹¹	ŋ i n ¹¹	38	person/人	i n c t		人	
201	Guilin		person	liŋ²²	liŋ²²	l i ŋ ²²	38	person/人	i n c t		人	
202	Guangzhou		person	iɐn²¹	jɐn²¹	j ɐ n ²¹	38	person/人	i n c t		人	
203	Fuzhou		person	nøyŋ⁵³	nøyŋ⁵³	n øy ŋ ⁵³	38	person/人	i n c t		人	
204	Xiamen		person	laŋ²⁴	laŋ²⁴	l a ŋ ²⁴	38	person/人	i n c t		人	
205	Beijing		throw	ʐəŋ⁵⁵	ʐəŋ⁵⁵	ʐ ə ŋ ⁵⁵	60	throw/仍	i n c t		仍	
206	Ha_erbin		throw	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐ ə ŋ ⁴⁴	60	throw/仍	i n c t		仍	
207	Jinan		throw	ləŋ²¹⁴	ləŋ²¹⁴	l ə ŋ ²¹⁴	60	throw/仍	i n c t		仍	
208	Rongcheng		throw	liau³³⁴	ljau³³⁴	l j au ³³⁴	61	throw/撂	i m n t		撂	
209	Taiyuan		throw	zəŋ⁵³	zəŋ⁵³	z ə ŋ ⁵³	60	throw/仍	i n c t		仍	
210	Xi_an		throw	liɑu⁴⁴	ljɑu⁴⁴	l j ɑu ⁴⁴	61	throw/撂	i m n t		撂	
211	Chengdu		throw	zən⁴⁵	zən⁴⁵	z ə n ⁴⁵	60	throw/仍	i n c t		仍	
212	Chengdu		throw	suai⁵³	swai⁵³	s w ai ⁵³	62	throw/甩	i m n t		甩	
213	Nanjing		throw	suə³¹	swə³¹	s w ə ³¹	63	throw/摔	i m n t		摔	
214	Jixi		throw	pʰɤ⁵⁵	pʰɤ⁵⁵	pʰ ɤ ⁵⁵	64	throw/拋	i n t		拋	
215	Suzhou		throw	toʔ⁴	toʔ⁴	t o ʔ ⁴	65	throw/?	i n c t		?	
216	Wenzhou		throw	ga²²	ga²²	g a ²²	68	throw/掼	i n t		掼	
217	Changsha		throw	ʐən¹³	ʐən¹³	ʐ ə n ¹³	60	throw/仍	i n c t		仍	
218	Changsha		throw	ɕuai⁴¹	ɕwai⁴¹	ɕ w ai ⁴¹	62	throw/甩	i m n t		甩	
219	Loudi		throw	liɤ¹¹	ljɤ¹¹	l j ɤ ¹¹	61	throw/撂	i m n t		撂	
220	Loudi		throw	iɔ³⁵	jɔ³⁵	j ɔ ³⁵	765	throw/?	m n t		囗	
221	Nanchang		throw	lɨn²¹	lɨn²¹	l ɨ n ²¹	60	throw/仍	i n c t		仍	
222	Nanchang		throw	tiu⁴²	tju⁴²	t j u ⁴²	69	drow/丟	i m n t		丟	
223	Meixian		throw	tiu³³	tju³³	t j u ³³	69	drow/丟	i m n t		丟	
224	Guilin		throw	tiou⁴²	tjou⁴²	t j ou ⁴²	69	drow/丟	i m n t		丟	
225	Guangzhou		throw	tiu⁵⁵	tju⁵⁵	t j u ⁵⁵	69	drow/丟	i m n t		丟	
226	Fuzhou		throw	lieu⁵⁵	ljeu⁵⁵	l j eu ⁵⁵	69	drow/丟	i m n t		丟	
227	Fuzhou		throw	kœʔ⁵	kœʔ⁵	k œ ʔ ⁵	764	throw/?	i n c t		囗	
228	Fuzhou		throw	kʰœ³²	kʰœ³²	kʰ œ ³²	70	throw/抾	i n t		抾	
229	Xiamen		throw	liŋ⁵⁵	liŋ⁵⁵	l i ŋ ⁵⁵	60	throw/仍	i n c t		仍	
230	Beijing		white	pɛ³⁵	pɛ³⁵	p ɛ ³⁵	71	white/白	i n t		白	
231	Ha_erbin		white	pai²⁴	pai²⁴	p ai ²⁴	71	white/白	i n t		白	
232	Jinan		white	pei⁵³	pei⁵³	p ei ⁵³	71	white/白	i n t		白	
233	Rongcheng		white	pɛ³³⁴	pɛ³³⁴	p ɛ ³³⁴	71	white/白	i n t		白	
234	Taiyuan		white	pai²¹	pai²¹	p ai ²¹	71	white/白	i n t		白	
235	Taiyuan		white	piə⁵⁴*	pjə⁵⁴	p j ə ⁵⁴	71	white/白	i m n t		白	
236	Xi_an		white	pei²⁴	pei²⁴	p ei ²⁴	71	white/白	i n t		白	
237	Chengdu		white	pe²¹	pe²¹	p e ²¹	71	white/白	i n t		白	
238	Nanjing		white	pəʔ⁵	pəʔ⁵	p ə ʔ ⁵	71	white/白	i n c t		白	
239	Jixi		white	pʰaʔ³²*	pʰaʔ³²	pʰ a ʔ ³²	71	white/白	i n c t		白	
240	Suzhou		white	bɑʔ²³*	bɑʔ²³	b ɑ ʔ ²³	71	white/白	i n c t		白	
241	Wenzhou		white	ba²¹	ba²¹	b a ²¹	71	white/白	i n t		白	
242	Changsha		white	pə²⁴	pə²⁴	p ə ²⁴	71	white/白	i n t		白	
243	Loudi		white	pʰɔ³⁵	pʰɔ³⁵	pʰ ɔ ³⁵	71	white/白	i n t		白	
244	Nanchang		white	pʰaʔ⁵	pʰaʔ⁵	pʰ a ʔ ⁵	71	white/白	i n c t		白	
245	Meixian		white	pʰak⁵	pʰak⁵	pʰ a k ⁵	71	white/白	i n c t		白	
246	Guilin		white	piᴀ²²	pja̠²²	p j a̠ ²²	71	white/白	i m n t		白	
247	Guangzhou		white	pak²	pak²	p a k ²	71	white/白	i n c t		白	
248	Fuzhou		white	paʔ⁵	paʔ⁵	p a ʔ ⁵	71	white/白	i n c t		白	
249	Xiamen		white	peʔ⁵	peʔ⁵	p e ʔ ⁵	71	white/白	i n c t		白	
250	Beijing	Mandarin	back	pei⁵¹	pei⁵¹	p ei ⁵¹	72	back:N/背	i n t		背	
251	Ha_erbin		back	pei⁵³	pei⁵³	p ei ⁵³	72	back:N/背	i n t		背	
252	Jinan		back	pei³¹	pei³¹	p ei ³¹	72	back:N/背	i n t		背	
253	Rongcheng		back	pei⁵²	pei⁵²	p ei ⁵²	72	back:N/背	i n t		背	
254	Taiyuan		back	pei⁴⁵	pei⁴⁵	p ei ⁴⁵	72	back:N/背	i n t		背	
255	Xi_an		back	tɕi²¹ pei²⁴	tɕi²¹+pei²⁴	tɕ i ²¹ + p ei ²⁴	73 72	_back:N/脊 back:N/背	i n t + i n t		脊 背	
256	Xi_an		back	pei²⁴	pei²⁴	p ei ²⁴	72	back:N/背	i n t		背	
257	Chengdu		back	pei²¹³	pei²¹³	p ei ²¹³	72	back:N/背	i n t		背	
258	Nanjing		back	pei⁴⁴	pei⁴⁴	p ei ⁴⁴	72	back:N/背	i n t		背	
259	Jixi		back	pa³⁵	pa³⁵	p a ³⁵	72	back:N/背	i n t		背	
260	Suzhou		back	pᴇ⁴¹²	pe̞⁴¹²	p e̞ ⁴¹²	72	back:N/背	i n t		背	
261	Wenzhou		back	pai⁴²⁻³ dʑi²⁴⁻⁴⁴ saŋ⁴⁴⁻²¹	pai⁴²+dʑi²⁴+saŋ⁴⁴	p ai ⁴² + dʑ i ²⁴ + s a ŋ ⁴⁴	72 74 75	back:N/背 _back _body/身	i n t + i n t + i n c t		背 骶 身	
262	Changsha		back	pei⁵⁵	pei⁵⁵	p ei ⁵⁵	72	back:N/背	i n t		背	
263	Loudi		back	pe³⁵	pe³⁵	p e ³⁵	72	back:N/背	i n t		背	
264	Nanchang		back	pei⁴⁵ tɕiaʔ⁰	pei⁴⁵+tɕjaʔ⁰	p ei ⁴⁵ + tɕ j a ʔ ⁰	72 73	back:N/背 _back:N/脊	i n t + i m n c t		背 脊	
265	Meixian		back	poi⁵³	poi⁵³	p oi ⁵³	72	back:N/背	i n t		背	
266	Guilin		back	pei²⁵	pei²⁵	p ei ²⁵	72	back:N/背	i n t		背	
267	Guangzhou		back	pui³³	pwi³³	p w i ³³	72	back:N/背	i m n t		背	
268	Fuzhou		back	pʰiaŋ⁵⁵	pʰjaŋ⁵⁵	pʰ j a ŋ ⁵⁵	72	back:N/背	i m n c t	irregular nasalization	背	
269	Xiamen		back	ka⁵⁵⁻²² tsiaʔ³²*	ka⁵⁵+tsjaʔ³²	k a ⁵⁵ + ts j a ʔ ³²	76 73	_shoulder.blade/胛 BACK	i n t + i m n c t		胛 脊	
270	Beijing		nose	pi³⁵ tsɿ⁰	pi³⁵+tsɿ⁰	p i ³⁵ + ts ɿ ⁰	77 19	nose/鼻 -child:SUF/子	i n t + i n t		鼻 子	
271	Ha_erbin		nose	pi²⁴ tsɿ⁰	pi²⁴+tsɿ⁰	p i ²⁴ + ts ɿ ⁰	77 19	nose/鼻 -child:SUF/子	i n t + i n t		鼻 子	
272	Jinan		nose	pi⁵³⁻⁴⁵ tsɿ⁰	pi⁵³+tsɿ⁰	p i ⁵³ + ts ɿ ⁰	77 19	nose/鼻 -child:SUF/子	i n t + i n t		鼻 子	
273	Rongcheng		nose	pi³⁵ tsɿ⁰	pi³⁵+tsɿ⁰	p i ³⁵ + ts ɿ ⁰	77 19	nose/鼻 -child:SUF/子	i n t + i n t		鼻 子	
274	Taiyuan		nose	piəʔ⁵⁴*	pjəʔ⁵⁴	p j ə ʔ ⁵⁴	77	nose/鼻	i m n c t	!variation	鼻	
275	Taiyuan		nose	piəʔ⁵⁴* tsəʔ⁰	pjəʔ⁵⁴+tsəʔ⁰	p j ə ʔ ⁵⁴ + ts ə ʔ ⁰	77 19	nose/鼻 -child:SUF/子	i m n c t + i n c t		鼻 子	
276	Xi_an		nose	pi²⁴ tsɿ⁰	pi²⁴+tsɿ⁰	p i ²⁴ + ts ɿ ⁰	77 19	nose/鼻 -child:SUF/子	i n t + i n t		鼻 子	
277	Chengdu		nose	pi²¹⁻⁵⁵ tsɿ⁵³	pi²¹+tsɿ⁵³	p i ²¹ + ts ɿ ⁵³	77 19	nose/鼻 -child:SUF/子	i n t + i n t		鼻 子	
278	Nanjing		nose	piʔ⁵ tsɿ⁰	piʔ⁵+tsɿ⁰	p i ʔ ⁵ + ts ɿ ⁰	77 19	nose/鼻 -child:SUF/子	i n c t + i n t		鼻 子	
279	Jixi		nose	pʰɿ³⁵⁻⁵³ kʰɑ̃²¹³	pʰɿ³⁵+kʰɑ̃²¹³	pʰ ɿ ³⁵ + kʰ u/w ɑ̃ ²¹³	77 78	nose/鼻 hole/孔	i n t + i n t		鼻 孔	
280	Suzhou		nose	bəʔ²³* dʏ¹³⁻³¹	bəʔ²³+dʏ¹³	b ə ʔ ²³ + d ʏ ¹³	77 319	nose/鼻 head:SUF/頭	i n c t + i n t		鼻 頭	
281	Wenzhou		nose	bei²¹⁻³¹ dɤu³⁴¹⁻²¹	bei²¹+dɤu³⁴¹	b ei ²¹ + d ɤu ³⁴¹	77 319	nose/鼻 head:SUF/頭	i n t + i n t		鼻 頭	
282	Changsha		nose	pi²⁴	pi²⁴	p i ²⁴	77	nose/鼻	i n t	!variation	鼻	
283	Changsha		nose	pi²⁴ tsɿ⁰	pi²⁴+tsɿ⁰	p i ²⁴ + ts ɿ ⁰	77 19	nose/鼻 -child:SUF/子	i n t + i n t		鼻 子	
284	Loudi		nose	pʰi¹¹ diɤ¹³⁻³³	pʰi¹¹+djɤ¹³	pʰ i ¹¹ + d j ɤ ¹³	77 319	nose/鼻 head:SUF/頭	i n t + i m n t		鼻 子	
285	Nanchang		nose	pʰit²¹* tsɿ⁰	pʰit²¹+tsɿ⁰	pʰ i t ²¹ + ts ɿ ⁰	77 19	nose/鼻 -child:SUF/子	i n c t + i n t		鼻 子	
286	Meixian		nose	pʰi⁵³ kuŋ³³	pʰi⁵³+kuŋ³³	pʰ i ⁵³ + k u ŋ ³³	77 80	nose/鼻 noble.man:SUF/公	i n t + i n c t		鼻 公	
287	Guilin		nose	pi²² kʰɤn²³⁻³³	pi²²+kʰɤn²³	p i ²² + kʰ ɤ n ²³	77 78	nose/鼻 hole/孔	i n t + i n c t		鼻 孔	
288	Guangzhou		nose	pei²² kɔ⁵⁵	pei²²+kɔ⁵⁵	p ei ²² + k ɔ ⁵⁵	77 81	nose/鼻 :SUF/歌	i n t + i n t		鼻 歌	
289	Fuzhou		nose	pʰɛi²¹²	pʰɛi²¹²	pʰ ɛi ²¹²	77	nose/鼻	i n t		鼻	
290	Xiamen		nose	pʰiæ²²⁻²¹ iã⁵³	pʰjæ²²+jã⁵³	pʰ j æ ²² + j/Ø ã/a ⁵³	77 797	nose/鼻 _:SUF/仔	i m n t + i n t	!variation	鼻 仔	
291	Xiamen		nose	pʰiæ²²	pʰjæ²²	pʰ j æ ²²	77	nose/鼻	i m n t		鼻	
292	Beijing		ice	piŋ⁵⁵	piŋ⁵⁵	p i ŋ ⁵⁵	83	ice/冰	i n c t		冰	
293	Ha_erbin		ice	piŋ⁴⁴	piŋ⁴⁴	p i ŋ ⁴⁴	83	ice/冰	i n c t		冰	
294	Jinan		ice	piŋ²¹⁴	piŋ²¹⁴	p i ŋ ²¹⁴	83	ice/冰	i n c t		冰	
295	Rongcheng		ice	piŋ⁵²	piŋ⁵²	p i ŋ ⁵²	83	ice/冰	i n c t		冰	
296	Taiyuan		ice	piŋ²¹	piŋ²¹	p i ŋ ²¹	83	ice/冰	i n c t		冰	
297	Xi_an		ice	piŋ²¹	piŋ²¹	p i ŋ ²¹	83	ice/冰	i n c t		冰	
298	Chengdu		ice	pin⁴⁵	pin⁴⁵	p i n ⁴⁵	83	ice/冰	i n c t		冰	
299	Nanjing		ice	pin³¹	pin³¹	p i n ³¹	83	ice/冰	i n c t		冰	
300	Jixi		ice	piɑ̃⁵⁵	pjɑ̃⁵⁵	p j ɑ̃ ⁵⁵	83	ice/冰	i m n t		冰	
301	Suzhou		ice	pin⁴⁴	pin⁴⁴	p i n ⁴⁴	83	ice/冰	i n c t		冰	
302	Wenzhou		ice	pəŋ⁴⁴	pəŋ⁴⁴	p ə ŋ ⁴⁴	83	ice/冰	i n c t		冰	
303	Changsha		ice	pin³³	pin³³	p i n ³³	83	ice/冰	i n c t		冰	
304	Changsha		ice	lin¹³ pin³³	lin¹³+pin³³	l i n ¹³ + p i n ³³	84 83	_ice/凌 ice/冰	i n c t + i n c t		凌 冰	
305	Loudi		ice	kɤ³⁵ niɔ̃¹³⁻³³ tsɿ⁰	kɤ³⁵+njɔ̃¹³+tsɿ⁰	k ɤ ³⁵ + n j ɔ̃ ¹³ + ts ɿ ⁰	85 86 19	ICE _ice _-child:SUF/子	i n t + i m n t + i n t		構 棱 子	
306	Nanchang		ice	pin⁴²	pin⁴²	p i n ⁴²	83	ice/冰	i n c t		冰	
307	Meixian		ice	pen³³	pen³³	p e n ³³	83	ice/冰	i n c t		冰	
308	Guilin		ice	piŋ⁴²	piŋ⁴²	p i ŋ ⁴²	83	ice/冰	i n c t		冰	
309	Guangzhou		ice	peŋ⁵⁵	peŋ⁵⁵	p e ŋ ⁵⁵	83	ice/冰	i n c t		冰	
310	Fuzhou		ice	piŋ⁵⁵	piŋ⁵⁵	p i ŋ ⁵⁵	83	ice/冰	i n c t		冰	
311	Xiamen		ice	piŋ⁵⁵	piŋ⁵⁵	p i ŋ ⁵⁵	83	ice/冰	i n c t		冰	
312	Xiamen		ice	sŋ̍⁵⁵	sŋ̍⁵⁵	s Ø/ə ŋ̍/ŋ ⁵⁵	87	ice/霜	i n c t		霜	
313	Beijing		neck	po³⁵ tsɿ⁰	po³⁵+tsɿ⁰	p o ³⁵ + ts ɿ ⁰	88 19	neck/脖 _-child:SUF/子	i n t + i n t		脖 子	
314	Ha_erbin		neck	pɤ²⁴ tsɿ⁰	pɤ²⁴+tsɿ⁰	p ɤ ²⁴ + ts ɿ ⁰	88 19	neck/脖 _-child:SUF/子	i n t + i n t		脖 子	
315	Jinan		neck	pɤ⁵³⁻⁴⁵ tsɿ⁰	pɤ⁵³+tsɿ⁰	p ɤ ⁵³ + ts ɿ ⁰	88 19	neck/脖 _-child:SUF/子	i n t + i n t		脖 子	
316	Rongcheng		neck	pɔ³⁵⁻³ kəŋ²¹⁴ tsɿ⁰	pɔ³⁵+kəŋ²¹⁴+tsɿ⁰	p ɔ ³⁵ + k ə ŋ ²¹⁴ + ts ɿ ⁰	88 89 19	neck/脖 _neck _-child:SUF/子	i n t + i n c t + i n t		脖 颈 子	
317	Taiyuan		neck	paʔ⁵⁴* tsəʔ⁰	paʔ⁵⁴+tsəʔ⁰	p a ʔ ⁵⁴ + ts ə ʔ ⁰	88 19	neck/脖 _-child:SUF/子	i n c t + i n c t		脖 子	
318	Xi_an		neck	po²⁴ tsɿ⁰	po²⁴+tsɿ⁰	p o ²⁴ + ts ɿ ⁰	88 19	neck/脖 _-child:SUF/子	i n t + i n t		脖 子	
319	Chengdu		neck	tɕin⁵³⁻⁵⁵ xaŋ⁵³	tɕin⁵³+xaŋ⁵³	tɕ i n ⁵³ + x a ŋ ⁵³	90 91	neck/頸 neck	i n c t + i n c t		頸 項	
320	Chengdu		neck	tɕin⁵³⁻⁴⁵ tsɿ⁵³	tɕin⁵³+tsɿ⁵³	tɕ i n ⁵³ + ts ɿ ⁵³	90 19	neck/頸 -child:SUF/子	i n c t + i n t		頸 子	
321	Nanjing		neck	poʔ⁵ tsɿ⁰	poʔ⁵+tsɿ⁰	p o ʔ ⁵ + ts ɿ ⁰	88 19	neck/脖 _-child:SUF/子	i n c t + i n t		脖 子	
322	Jixi		neck	kʰi³⁵⁻⁵³ tɕiɑ̃²¹³	kʰi³⁵+tɕjɑ̃²¹³	kʰ i ³⁵ + tɕ j ɑ̃ ²¹³	92 90	neck/扣 neck/頸	i n t + i m n t		扣 頸	
323	Suzhou		neck	dʏ¹³⁻²² tɕin⁵²⁻³¹	dʏ¹³+tɕin⁵²	d ʏ ¹³ + tɕ i n ⁵²	79 90	head/頭 neck/頸	i n t + i n c t		頭 頸	
324	Wenzhou		neck	dɤu³⁴¹⁻⁴² tɕiaŋ²⁴²⁻²³	dɤu³⁴¹+tɕjaŋ²⁴²	d ɤu ³⁴¹ + tɕ j a ŋ ²⁴²	79 90	head/頭 neck/頸	i n t + i m n c t		頭 頸	
325	Changsha		neck	po¹³ tsɿ⁰	po¹³+tsɿ⁰	p o ¹³ + ts ɿ ⁰	88 19	neck/脖 _-child:SUF/子	i n t + i n t		脖 子	
326	Changsha		neck	tɕin⁴¹⁻⁴⁴ kən³³	tɕin⁴¹+kən³³	tɕ i n ⁴¹ + k ə n ³³	90 93	neck/頸 root/根	i n c t + i n c t		頸 根	
327	Loudi		neck	tɕiɔ̃⁴² ku⁰	tɕjɔ̃⁴²+ku⁰	tɕ j ɔ̃ ⁴² + k u ⁰	90 94	neck/頸 bone/骨	i m n t + i n t		頸 骨	
328	Nanchang		neck	pɔʔ⁵ tsɿ⁰	pɔʔ⁵+tsɿ⁰	p ɔ ʔ ⁵ + ts ɿ ⁰	88 19	neck/脖 _-child:SUF/子	i n c t + i n t		脖 子	
329	Nanchang		neck	tɕiaŋ²¹³	tɕjaŋ²¹³	tɕ j a ŋ ²¹³	90	neck/頸	i m n c t		頸	
330	Meixian		neck	kiaŋ³¹ kin³³	kjaŋ³¹+kin³³	k j a ŋ ³¹ + k i n ³³	90 93	neck/頸 root/根	i m n c t + i n c t		頸 根	
331	Guilin		neck	kei²³	kei²³	k ei ²³	90	neck/頸	i n t		頸	
332	Guangzhou		neck	kɛŋ³⁵	kɛŋ³⁵	k ɛ ŋ ³⁵	90	neck/頸	i n c t		頸	
333	Fuzhou		neck	tau²⁴²⁻⁵³ ɔuʔ²⁴*	tau²⁴²+ɔuʔ²⁴	t au ²⁴² + ɔu ʔ ²⁴	95 94	neck/脰 _bone/骨	i n t + n c t		脰 骨	
334	Xiamen		neck	am²²⁻²¹ kun⁵³	am²²+kun⁵³	a m ²² + k u n ⁵³	96 90	neck/頷 neck/頸	n c t + i n c t		頷 頸	
335	Beijing		thin	pɑu³⁵	pɑu³⁵	p ɑu ³⁵	97	thin/薄	i n t		薄	
336	Ha_erbin		thin	pɤ²⁴	pɤ²⁴	p ɤ ²⁴	97	thin/薄	i n t		薄	
337	Jinan		thin	pɤ⁵³	pɤ⁵³	p ɤ ⁵³	97	thin/薄	i n t		薄	
338	Rongcheng		thin	pɔ³⁵	pɔ³⁵	p ɔ ³⁵	97	thin/薄	i n t		薄	
339	Taiyuan		thin	pəʔ⁵⁴*	pəʔ⁵⁴	p ə ʔ ⁵⁴	97	thin/薄	i n c t		薄	
340	Xi_an		thin	po²⁴	po²⁴	p o ²⁴	97	thin/薄	i n t		薄	
341	Chengdu		thin	po²¹	po²¹	p o ²¹	97	thin/薄	i n t		薄	
342	Nanjing		thin	poʔ⁵	poʔ⁵	p o ʔ ⁵	97	thin/薄	i n c t		薄	
343	Jixi		thin	pʰoʔ³²*	pʰoʔ³²	pʰ o ʔ ³²	97	thin/薄	i n c t		薄	
344	Suzhou		thin	boʔ²³*	boʔ²³	b o ʔ ²³	97	thin/薄	i n c t		薄	
345	Wenzhou		thin	bo²³	bo²³	b o ²³	97	thin/薄	i n t		薄	
346	Changsha		thin	po²⁴	po²⁴	p o ²⁴	97	thin/薄	i n t		薄	
347	Loudi		thin	pʰo¹¹	pʰo¹¹	pʰ o ¹¹	97	thin/薄	i n t		薄	
348	Nanchang		thin	pʰɔʔ⁵	pʰɔʔ⁵	pʰ ɔ ʔ ⁵	97	thin/薄	i n c t		薄	
349	Meixian		thin	pʰok⁵	pʰok⁵	pʰ o k ⁵	97	thin/薄	i n c t		薄	
350	Guilin		thin	pɑu²²	pɑu²²	p ɑu ²²	97	thin/薄	i n t		薄	
351	Guangzhou		thin	pɔk²	pɔk²	p ɔ k ²	97	thin/薄	i n c t		薄	
352	Fuzhou		thin	poʔ⁵	poʔ⁵	p o ʔ ⁵	97	thin/薄	i n c t		薄	
353	Xiamen		thin	poʔ⁵	poʔ⁵	p o ʔ ⁵	97	thin/薄	i n c t		薄	
354	Beijing		not	pu⁵¹	pu⁵¹	p u ⁵¹	98	not/不	i n t		不	
355	Ha_erbin		not	pu⁵³	pu⁵³	p u ⁵³	98	not/不	i n t		不	
356	Jinan		not	pu²¹⁴	pu²¹⁴	p u ²¹⁴	98	not/不	i n t		不	
357	Rongcheng		not	pu²¹⁴	pu²¹⁴	p u ²¹⁴	98	not/不	i n t		不	
358	Taiyuan		not	pəʔ²	pəʔ²	p ə ʔ ²	98	not/不	i n c t		不	
359	Xi_an		not	pu²¹	pu²¹	p u ²¹	98	not/不	i n t		不	
360	Chengdu		not	pu²¹	pu²¹	p u ²¹	98	not/不	i n t		不	
361	Nanjing		not	puʔ⁵	puʔ⁵	p u ʔ ⁵	98	not/不	i n c t		不	
362	Jixi		not	pɤʔ³²*	pɤʔ³²	p ɤ ʔ ³²	98	not/不	i n c t		不	
363	Suzhou		not	fəʔ⁴	fəʔ⁴	f ə ʔ ⁴	99	not/勿	i n c t		勿	
364	Wenzhou		not	fu²⁴	fu²⁴	f u ²⁴	100	not/否	i n t		否	
365	Changsha		not	pu²⁴	pu²⁴	p u ²⁴	98	not/不	i n t		不	
366	Loudi		not	pʰu¹³	pʰu¹³	pʰ u ¹³	98	not/不	i n t		不	
367	Nanchang		not	pʰɨt⁵	pʰɨt⁵	pʰ ɨ t ⁵	98	not/不	i n c t		不	
368	Meixian		not	m̩¹¹	mm̩¹¹	m m̩ ¹¹	101	not/唔	i n t		唔	
369	Guilin		not	pu²²	pu²²	p u ²²	98	not/不	i n t		不	
370	Guangzhou		not	pɐt⁵	pɐt⁵	p ɐ t ⁵	98	not/不	i n c t		不	
371	Fuzhou		not	iŋ⁵⁵	iŋ⁵⁵	i ŋ ⁵⁵	102	not/伓	n c t		伓	
372	Fuzhou		not	ŋ̍²⁴²	ŋ̍²⁴²	Ø/ə ŋ̍/ŋ ²⁴²	37	not/伓	n c t		伓	
373	Fuzhou		not	mo⁵³	mo⁵³	m o ⁵³	103	not/無	i n t		無	
374	Xiamen		not	bo²⁴	bo²⁴	b o ²⁴	103	not/無	i n t		無	
375	Beijing		rub	tsʰɑ⁵⁵	tsʰɑ⁵⁵	tsʰ ɑ ⁵⁵	104	rub/擦	i n t		擦	
